0,1,4,1,2,2,1,6,0,1,0,0,
0,10,5,7,1,1,1,0,0,1,1,1,
0,10,6,7,1,2,1,0,0,1,1,1,
0,10,8,7,1,2,1,0,0,1,1,1,
0,10,10,7,2,2,1,0,0,1,1,1,
0,10,12,7,2,2,1,0,0,1,1,1,
0,10,14,7,2,2,1,0,0,1,1,1,
0,10,16,7,2,2,1,0,0,1,1,0,
0,11,5,7,2,2,1,0,0,1,1,1,
0,11,7,7,2,2,1,0,0,1,1,1,
0,11,9,7,2,1,1,0,0,1,1,0,
0,11,18,7,1,2,1,2,0,1,1,1,
0,12,3,7,1,2,1,0,0,1,1,-1,
0,12,10,7,1,2,1,0,0,1,1,1,
0,12,12,7,1,2,1,0,0,1,1,1,
0,12,14,7,1,2,1,0,0,1,1,1,
0,12,16,7,1,2,1,0,0,1,1,1,
0,12,18,7,2,2,1,2,0,1,1,1,
0,13,4,7,2,2,1,2,0,1,1,0,
0,13,6,7,2,2,1,2,0,1,1,1,
0,13,8,7,2,2,1,2,0,1,1,1,
0,13,10,7,2,2,1,2,0,1,1,1,
0,13,12,7,2,2,1,2,0,1,1,1,
0,13,14,7,2,2,1,2,0,1,1,1,
0,13,16,7,2,1,1,2,0,1,1,1,
0,13,17,7,1,1,1,0,0,1,1,0,
0,14,17,7,1,2,1,2,0,1,1,1,
0,11,1,7,1,1,1,0,1,1,0,0,
0,12,1,7,1,1,1,0,1,1,1,0,
0,11,0,7,1,1,1,0,1,1,0,-1,
0,8,4,8,2,2,1,2,0,1,0,0,
0,8,6,8,2,2,1,2,0,1,0,1,
0,8,8,8,2,2,1,2,0,1,0,1,
0,8,10,8,2,2,1,2,0,1,0,1,
0,8,12,8,2,1,1,2,0,1,0,1,
0,8,13,8,2,2,1,2,0,1,0,1,
0,8,15,8,2,2,1,2,0,1,0,1,
0,8,17,8,2,2,1,2,0,1,0,1,
0,9,19,8,2,1,1,2,0,1,0,1,
0,10,3,8,1,2,1,0,0,0,1,0,
0,10,5,8,1,2,1,0,0,1,1,1,
0,10,7,8,2,2,1,0,0,1,1,1,
0,10,9,8,2,2,1,0,0,1,1,1,
0,10,11,8,1,1,1,0,0,1,1,1,
0,10,12,8,1,2,1,0,0,1,1,1,
0,10,14,8,1,2,1,0,0,1,1,1,
0,10,16,8,2,2,1,0,0,1,1,1,
0,10,18,8,1,1,1,0,0,1,1,0,
0,11,3,8,2,2,1,0,0,0,1,0,
0,11,5,8,2,2,1,0,0,1,1,0,
0,11,11,8,2,2,1,0,0,1,1,1,
0,11,13,8,2,1,1,0,0,1,1,1,
0,11,14,8,2,2,1,0,0,1,1,0,
0,11,18,8,2,2,1,2,0,1,1,1,
0,12,7,8,1,2,1,0,0,1,1,1,
0,12,9,8,1,2,1,0,0,1,1,0,
0,12,16,8,1,2,1,0,0,1,1,0,
0,13,4,8,2,2,1,2,0,1,1,0,
0,13,6,8,2,1,1,2,0,1,1,1,
0,13,7,8,2,2,1,2,0,1,1,1,
0,13,9,8,2,2,1,2,0,1,1,1,
0,13,11,8,2,2,1,2,0,1,1,1,
0,13,13,8,2,2,1,2,0,1,1,1,
0,13,15,8,2,2,1,2,0,1,1,1,
0,13,17,8,2,2,1,2,0,1,1,1,
0,11,1,8,1,1,1,0,1,1,0,0,
0,12,1,8,1,1,1,0,1,1,1,0,
0,11,0,8,1,1,1,0,1,1,0,-1,
0,8,5,9,2,2,1,2,0,1,0,0,
0,8,7,9,2,1,1,2,0,1,0,1,
0,8,8,9,2,2,1,2,0,1,0,1,
0,8,10,9,2,2,1,2,0,1,0,1,
0,8,12,9,2,2,1,2,0,1,0,1,
0,8,15,9,2,2,1,2,0,1,0,0,
0,8,17,9,1,1,1,2,0,1,0,1,
0,9,4,9,2,1,1,2,0,0,0,-1,
0,9,14,9,2,1,1,2,0,1,0,0,
0,9,17,9,2,2,1,2,0,1,1,1,
0,10,3,9,1,1,1,0,0,0,0,-1,
0,10,5,9,2,1,1,0,0,1,1,1,
0,10,6,9,2,2,1,0,0,1,1,1,
0,10,8,9,1,1,1,0,0,1,1,1,
0,10,9,9,1,2,1,0,0,1,1,1,
0,10,11,9,1,1,1,0,0,1,1,1,
0,10,12,9,1,2,1,0,0,1,1,0,
0,10,15,9,1,2,1,0,0,1,1,0,
0,11,3,9,2,2,1,0,0,1,1,-1,
0,11,8,9,2,2,1,0,0,1,1,1,
0,11,10,9,2,2,1,0,0,1,1,1,
0,11,12,9,2,2,1,0,0,1,1,1,
0,11,14,9,1,1,1,0,0,1,1,1,
0,11,15,9,2,1,1,0,0,1,1,1,
0,11,16,9,2,2,1,0,0,1,1,1,
0,11,18,9,1,1,1,0,0,1,1,1,
0,12,5,9,1,2,1,0,0,1,1,1,
0,12,7,9,1,1,1,0,0,1,1,0,
0,12,14,9,2,1,1,2,0,1,1,0,
0,12,18,9,2,1,1,2,0,1,1,1,
0,13,4,9,1,1,1,2,0,1,1,0,
0,13,5,9,2,2,1,2,0,1,1,1,
0,13,7,9,2,2,1,2,0,1,1,1,
0,13,9,9,2,1,1,2,0,1,1,1,
0,13,10,9,2,2,1,2,0,1,1,1,
0,13,12,9,2,2,1,2,0,1,1,0,
0,13,15,9,2,1,1,2,0,1,1,1,
0,13,16,9,2,2,1,2,0,1,1,0,
0,10,19,9,1,2,1,2,0,1,0,1,
0,11,19,9,2,2,1,2,0,1,1,1,
0,11,1,9,1,1,1,0,1,1,0,0,
0,12,1,9,1,1,1,0,1,1,1,0,
0,11,0,9,1,1,1,0,1,1,0,-1,
0,8,6,10,2,2,1,2,0,1,0,0,
0,8,8,10,2,1,1,2,0,1,0,1,
0,8,9,10,2,2,1,2,0,1,0,1,
0,9,5,10,2,1,1,2,0,1,0,-1,
0,9,11,10,2,2,1,2,0,1,0,1,
0,9,13,10,2,1,1,2,0,1,0,1,
0,9,14,10,2,2,1,2,0,1,0,1,
0,9,16,10,2,2,1,2,0,1,0,1,
0,10,6,10,1,1,1,0,0,1,1,1,
0,10,7,10,2,2,1,0,0,1,1,1,
0,10,9,10,1,2,1,0,0,1,1,0,
0,10,18,10,2,1,1,2,0,1,0,1,
0,10,19,10,1,2,1,2,0,1,0,1,
0,11,3,10,1,2,1,2,0,1,0,0,
0,11,5,10,1,2,1,0,0,1,1,0,
0,11,9,10,2,2,1,0,0,1,1,1,
0,11,11,10,1,2,1,0,0,1,1,1,
0,11,13,10,1,2,1,0,0,1,1,1,
0,11,15,10,1,2,1,0,0,1,1,1,
0,11,17,10,1,1,1,0,0,1,1,0,
0,11,19,10,2,2,1,2,0,1,1,1,
0,12,5,10,2,1,1,2,0,1,1,0,
0,12,6,10,1,2,1,0,0,1,1,1,
0,12,8,10,1,1,1,0,0,1,1,0,
0,12,11,10,2,2,1,2,0,1,1,1,
0,12,13,10,2,2,1,2,0,1,1,1,
0,12,15,10,2,1,1,2,0,1,1,1,
0,12,16,10,2,2,1,2,0,1,1,1,
0,12,18,10,1,1,1,2,0,1,1,0,
0,13,6,10,2,2,1,2,0,1,1,1,
0,13,8,10,2,1,1,2,0,1,1,1,
0,13,9,10,2,2,1,2,0,1,1,0,
0,9,3,10,2,2,1,2,0,1,-1,-1,
0,12,3,10,2,2,1,2,0,1,1,-1,
0,11,1,10,1,1,1,0,1,1,0,0,
0,12,1,10,1,1,1,0,1,1,1,0,
0,11,0,10,1,1,1,0,1,1,0,-1,
0,9,3,11,1,2,1,0,0,0,0,0,
0,9,5,11,2,2,1,2,0,1,0,1,
0,9,7,11,2,2,1,2,0,1,0,1,
0,9,9,11,2,2,1,2,0,1,0,1,
0,9,11,11,2,1,1,2,0,1,0,1,
0,9,12,11,2,2,1,2,0,1,0,1,
0,10,4,11,1,1,1,0,0,1,1,-1,
0,10,14,11,1,2,1,2,0,1,0,1,
0,10,16,11,1,1,1,2,0,1,0,1,
0,10,17,11,1,2,1,2,0,1,0,1,
0,10,19,11,2,2,1,2,0,1,0,1,
0,11,4,11,2,1,1,0,0,1,1,0,
0,11,5,11,1,1,1,0,0,1,1,1,
0,11,6,11,1,2,1,0,0,1,1,1,
0,11,8,11,1,2,1,0,0,1,1,1,
0,11,10,11,1,2,1,2,0,1,1,1,
0,11,12,11,1,1,1,2,0,1,1,1,
0,11,13,11,2,1,1,2,0,1,1,1,
0,11,14,11,2,2,1,2,0,1,1,1,
0,11,16,11,2,1,1,2,0,1,1,1,
0,11,17,11,2,2,1,2,0,1,1,0,
0,12,5,11,2,1,1,2,0,1,1,1,
0,12,6,11,2,2,1,2,0,1,1,1,
0,12,8,11,2,1,1,2,0,1,1,1,
0,12,9,11,2,2,1,2,0,1,1,1,
0,12,11,11,2,2,1,2,0,1,1,0,
0,12,19,11,1,2,1,2,0,1,1,1,
0,13,3,11,1,2,1,0,0,1,1,-1,
0,10,2,11,1,2,1,0,0,0,1,-1,
0,11,2,11,2,2,1,0,0,0,0,-1,
0,11,1,11,1,1,1,0,1,1,0,-1,
0,12,1,11,1,1,1,0,1,1,1,-1,
0,11,0,11,1,1,1,0,1,1,0,-1,
0,9,4,12,2,2,1,2,0,1,0,0,
0,9,6,12,2,1,1,2,0,1,0,1,
0,9,7,12,1,2,1,2,0,1,0,1,
0,10,7,12,1,1,1,0,0,1,1,1,
0,10,8,12,1,2,1,2,0,1,1,1,
0,10,15,12,2,2,1,2,0,1,0,0,
0,10,17,12,2,2,1,2,0,1,0,1,
0,10,19,12,1,2,1,2,0,1,0,1,
0,11,2,12,1,2,1,0,0,0,0,0,
0,11,4,12,1,2,1,0,0,1,1,1,
0,11,6,12,1,2,1,0,0,1,1,1,
0,11,8,12,1,1,1,0,0,1,1,1,
0,11,9,12,1,2,1,2,0,1,1,1,
0,11,19,12,2,2,1,2,0,1,1,1,
0,12,4,12,2,1,1,0,0,1,1,0,
0,12,5,12,2,2,1,2,0,1,1,1,
0,12,7,12,1,1,1,0,0,1,1,1,
0,12,8,12,1,2,1,2,0,1,1,1,
0,12,15,12,1,2,1,2,0,1,1,0,
0,12,17,12,1,2,1,2,0,1,1,0,
0,13,7,12,1,2,1,2,0,1,1,1,
0,9,2,12,2,2,1,0,0,0,-1,-1,
0,10,1,12,2,1,1,6,0,1,0,-1,
0,12,1,12,1,1,1,6,0,1,1,0,
0,12,2,12,2,2,1,0,0,0,1,0,
0,11,0,12,1,1,1,0,1,1,0,-1,
0,9,2,13,2,2,1,0,0,0,0,0,
0,9,4,13,2,2,1,2,0,1,0,1,
0,9,6,13,2,2,1,2,0,1,0,1,
0,10,8,13,2,1,1,2,0,1,0,1,
0,10,15,13,2,2,1,2,0,1,0,0,
0,10,17,13,2,2,1,2,0,1,0,1,
0,10,19,13,1,2,1,2,0,1,0,1,
0,11,2,13,1,2,1,0,0,0,1,0,
0,11,4,13,1,2,1,0,0,1,1,1,
0,11,6,13,1,2,1,2,0,1,1,0,
0,11,19,13,2,2,1,2,0,1,1,1,
0,12,2,13,2,2,1,0,0,0,1,0,
0,12,4,13,2,2,1,2,0,1,1,1,
0,12,6,13,2,2,1,2,0,1,1,1,
0,12,8,13,1,1,1,2,0,1,1,1,
0,12,15,13,1,2,1,2,0,1,1,0,
0,12,17,13,1,2,1,2,0,1,1,0,
0,10,0,13,2,2,1,6,0,1,0,-1,
0,12,0,13,1,2,1,6,0,1,1,-1,
0,9,2,14,2,2,1,0,0,0,0,0,
0,9,4,14,2,1,1,0,0,1,0,1,
0,9,5,14,2,2,1,2,0,1,0,1,
0,10,0,14,1,2,1,6,0,0,0,-1,
0,10,7,14,1,1,1,2,0,1,0,1,
0,10,15,14,2,2,1,2,0,1,0,0,
0,10,17,14,2,1,1,2,0,1,0,1,
0,10,18,14,1,2,1,2,0,1,0,1,
0,11,0,14,2,2,1,6,0,1,1,0,
0,11,2,14,1,1,1,0,0,0,1,1,
0,11,3,14,1,2,1,0,0,1,1,1,
0,11,5,14,2,1,1,0,0,1,1,1,
0,11,6,14,2,2,1,2,0,1,1,1,
0,11,18,14,2,2,1,2,0,1,1,1,
0,12,2,14,2,2,1,0,0,0,1,1,
0,12,4,14,2,1,1,0,0,1,1,0,
0,12,15,14,1,2,1,2,0,1,1,0,
0,12,17,14,1,1,1,2,0,1,1,0,
0,13,5,14,1,2,1,2,0,1,1,1,
0,9,2,15,2,2,1,0,0,0,0,0,
0,9,4,15,2,1,1,0,0,1,0,1,
0,9,5,15,1,2,1,2,0,1,0,1,
0,10,1,15,1,1,1,0,0,1,0,-1,
0,10,5,15,1,1,1,0,0,1,1,1,
0,10,6,15,1,2,1,2,0,1,1,1,
0,10,16,15,2,2,1,2,0,1,0,0,
0,10,18,15,1,1,1,2,0,1,0,1,
0,11,1,15,2,2,1,0,0,0,1,0,
0,11,3,15,2,1,1,0,0,0,1,1,
0,11,4,15,1,2,1,0,0,1,1,1,
0,11,6,15,2,2,1,2,0,1,1,1,
0,11,18,15,1,2,1,2,0,1,1,1,
0,12,4,15,2,1,1,0,0,1,1,1,
0,12,5,15,1,1,1,0,0,1,1,0,
0,12,16,15,1,1,1,2,0,1,1,0,
0,12,17,15,1,2,1,2,0,1,1,1,
0,13,2,15,1,2,1,0,0,0,1,-1,
0,13,5,15,1,2,1,2,0,1,1,1,
0,9,2,16,1,2,1,0,0,0,0,0,
0,10,2,16,1,2,1,6,0,0,0,0,
0,9,4,16,2,1,1,0,0,1,0,1,
0,9,5,16,2,2,1,2,0,1,0,1,
0,11,2,16,1,2,1,0,0,0,1,0,
0,11,4,16,1,1,1,0,0,1,1,1,
0,11,5,16,1,2,1,2,0,1,1,1,
0,12,2,16,1,2,1,6,0,0,1,0,
0,13,2,16,1,2,1,0,0,0,1,0,
0,12,4,16,2,1,1,0,0,1,1,1,
0,12,5,16,2,2,1,2,0,1,1,1,
0,9,3,17,2,1,1,2,0,0,0,0,
0,9,4,17,2,2,1,2,0,1,0,1,
0,10,2,17,2,1,1,2,0,0,0,-1,
0,11,3,17,1,1,1,0,0,1,1,1,
0,11,4,17,1,2,1,2,0,1,1,1,
0,11,6,17,2,1,1,2,0,1,0,1,
0,12,2,17,1,1,1,2,0,1,1,0,
0,12,3,17,2,1,1,2,0,1,1,1,
0,12,4,17,2,2,1,2,0,1,1,0,
0,9,3,18,2,2,1,2,0,1,0,0,
0,12,3,18,2,2,1,2,0,1,0,0,
