0,4,3,1,4,2,1,1,0,1,0,0
0,8,2,1,8,2,1,1,0,1,0,0
0,8,4,1,2,1,1,1,0,1,0,0
0,9,5,1,1,1,1,1,0,1,0,0
0,10,4,1,2,2,1,1,0,1,0,0
0,12,4,1,4,2,1,1,0,1,0,0
0,16,2,1,8,2,1,1,0,1,0,0
0,16,4,1,8,2,1,1,0,1,0,0
0,24,2,1,8,2,1,1,0,1,0,0
0,24,4,1,8,2,1,1,0,1,0,0
0,32,2,1,2,2,1,1,0,1,0,0
0,32,4,1,2,1,1,1,0,1,0,0
0,32,5,1,1,1,1,1,0,1,0,0
0,38,1,1,2,4,1,6,0,1,0,0
0,38,5,1,2,2,1,6,0,1,0,0
0,39,0,1,1,1,1,6,0,1,0,0
0,39,7,1,1,1,1,6,0,1,0,0
0,6,2,1,1,1,1,0,1,1,0,0
0,7,5,1,1,1,1,0,1,1,0,0
0,30,7,1,1,1,1,0,1,1,0,0
0,31,6,1,1,1,1,0,1,1,0,0
0,33,1,1,1,1,1,0,1,1,0,0
0,35,6,1,1,1,1,0,1,1,0,0
0,34,1,1,1,1,1,0,1,1,0,0
0,35,1,1,1,1,1,0,1,1,0,0
0,37,6,1,1,1,1,0,1,1,0,0
0,5,2,1,1,1,1,0,1,1,0,0
0,6,5,1,1,1,1,0,1,1,0,0
0,31,1,1,1,1,1,0,1,1,0,0
0,37,1,1,1,1,1,0,1,1,0,0
0,7,6,1,1,1,1,0,1,1,0,0
0,34,6,1,1,1,1,0,1,1,0,0
0,36,0,1,1,1,1,0,1,1,0,0
0,34,7,1,1,1,1,0,1,1,0,0
0,37,7,1,1,1,1,0,1,1,0,0
0,30,1,1,1,1,1,0,1,1,0,0
0,30,4,2,2,2,1,0,0,1,0,0
0,39,0,2,1,1,1,6,0,1,0,0
0,2,3,2,8,2,1,1,0,1,0,0
0,4,2,2,3,1,1,1,0,1,0,0
0,4,5,2,4,1,1,1,0,1,0,0
0,7,1,2,2,2,1,1,0,1,0,0
0,8,5,2,4,2,1,1,0,1,0,0
0,9,1,2,1,2,1,1,0,1,0,0
0,10,1,2,2,4,1,1,0,1,0,0
0,12,1,2,2,4,1,1,0,1,0,0
0,12,5,2,2,2,1,1,0,1,0,0
0,14,0,2,2,8,1,1,0,1,0,0
0,16,0,2,2,8,1,1,0,1,0,0
0,18,0,2,2,8,1,1,0,1,0,0
0,20,0,2,2,8,1,1,0,1,0,0
0,22,0,2,2,8,1,1,0,1,0,0
0,24,0,2,2,8,1,1,0,1,0,0
0,26,0,2,2,8,1,1,0,1,0,0
0,28,0,2,2,8,1,1,0,1,0,0
0,30,0,2,2,4,1,1,0,1,0,0
0,30,6,2,1,2,1,1,0,1,0,0
0,31,6,2,1,1,1,1,0,1,0,0
0,32,0,2,2,2,1,1,0,1,0,0
0,32,2,2,8,2,1,6,0,1,0,0
0,32,4,2,8,2,1,6,0,1,0,0
0,32,6,2,4,1,1,1,0,1,0,0
0,34,0,2,1,2,1,1,0,1,0,0
0,35,1,2,1,1,1,1,0,1,0,0
0,36,1,2,4,1,1,6,0,1,0,0
0,36,6,2,2,1,1,1,0,1,0,0
0,38,6,2,2,2,1,6,0,1,0,0
0,7,6,2,1,1,1,0,1,1,0,0
0,36,0,2,1,1,1,0,1,1,0,0
0,34,7,2,1,1,1,0,1,1,0,0
0,37,7,2,1,1,1,0,1,1,0,0
0,4,2,3,4,2,1,1,0,1,0,0
0,4,4,3,4,2,1,1,0,1,0,0
0,8,1,3,4,1,1,1,0,1,0,0
0,8,2,3,8,2,1,0,0,1,0,0
0,8,4,3,8,2,1,0,0,1,0,0
0,8,6,3,4,1,1,1,0,1,0,0
0,16,0,3,8,2,1,1,0,1,0,0
0,16,2,3,8,2,1,0,0,1,0,0
0,16,4,3,8,2,1,0,0,1,0,0
0,16,6,3,8,2,1,1,0,1,0,0
0,24,0,3,8,2,1,1,0,1,0,0
0,24,2,3,8,2,1,0,0,1,0,0
0,24,4,3,8,2,1,0,0,1,0,0
0,32,2,3,8,2,1,6,0,1,0,0
0,32,4,3,8,2,1,6,0,1,0,0
0,34,6,3,4,1,1,1,0,1,0,0
0,36,1,3,2,1,1,0,0,1,0,0
0,38,6,3,2,2,1,6,0,1,0,0
0,1,3,3,2,2,1,1,0,1,0,0
0,3,2,3,1,4,1,1,0,1,0,0
0,6,1,3,2,1,1,1,0,1,0,0
0,6,6,3,2,1,1,1,0,1,0,0
0,12,0,3,4,2,1,1,0,1,0,0
0,12,6,3,4,2,1,1,0,1,0,0
0,24,6,3,8,2,1,1,0,1,0,0
0,32,0,3,4,2,1,1,0,1,0,0
0,32,6,3,2,2,1,1,0,1,0,0
0,36,0,3,1,1,1,1,0,1,0,0
0,38,0,3,2,2,1,6,0,1,0,0
0,34,7,3,1,1,1,0,1,1,0,0
0,37,7,3,1,1,1,0,1,1,0,0
0,7,1,4,1,2,1,1,0,1,0,0
0,8,1,4,2,4,1,1,0,1,0,0
0,9,5,4,1,2,1,1,0,1,0,0
0,12,0,4,2,8,1,1,0,1,0,0
0,14,0,4,2,8,1,1,0,1,0,0
0,16,0,4,2,8,1,1,0,1,0,0
0,18,0,4,2,8,1,1,0,1,0,0
0,20,0,4,2,8,1,1,0,1,0,0
0,22,0,4,2,8,1,1,0,1,0,0
0,24,0,4,2,8,1,1,0,1,0,0
0,26,0,4,2,8,1,1,0,1,0,0
0,28,0,4,2,8,1,1,0,1,0,0
0,30,0,4,2,8,1,1,0,1,0,0
0,32,0,4,2,8,1,1,0,1,0,0
0,34,0,4,2,4,1,1,0,1,0,0
0,34,4,4,4,2,1,1,0,1,0,0
0,34,6,4,4,1,1,1,0,1,0,0
0,38,0,4,2,8,1,6,0,1,0,0
0,0,3,4,8,2,1,1,0,1,0,0
0,2,2,4,3,1,1,1,0,1,0,0
0,2,5,4,3,1,1,1,0,1,0,0
0,5,1,4,2,2,1,1,0,1,0,0
0,5,5,4,4,2,1,1,0,1,0,0
0,10,0,4,2,8,1,1,0,1,0,0
0,34,7,4,1,1,1,1,0,1,0,0
0,36,0,4,2,4,1,1,0,1,0,0
0,37,7,4,1,1,1,1,0,1,0,0
0,0,3,5,2,1,1,1,0,1,0,0
0,0,4,5,1,1,1,1,0,1,0,0
0,2,2,5,2,2,1,1,0,1,0,0
0,8,1,5,2,1,1,1,0,1,0,0
0,8,2,5,1,1,1,1,0,1,0,0
0,8,6,5,2,1,1,1,0,1,0,0
0,10,0,5,2,2,1,1,0,1,0,0
0,10,6,5,2,2,1,1,0,1,0,0
0,11,2,5,8,2,1,1,0,1,0,0
0,11,4,5,8,2,1,1,0,1,0,0
0,12,0,5,4,2,1,1,0,1,0,0
0,12,6,5,4,2,1,1,0,1,0,0
0,16,0,5,8,2,1,1,0,1,0,0
0,16,6,5,8,2,1,1,0,1,0,0
0,19,2,5,2,4,1,0,0,1,0,0
0,21,2,5,1,4,1,1,0,1,0,0
0,23,2,5,1,4,1,1,0,1,0,0
0,24,0,5,8,2,1,1,0,1,0,0
0,24,2,5,4,2,1,1,0,1,0,0
0,24,4,5,4,2,1,1,0,1,0,0
0,24,6,5,8,2,1,1,0,1,0,0
0,28,2,5,1,4,1,1,0,1,0,0
0,31,2,5,1,4,1,1,0,1,0,0
0,32,0,5,2,8,1,1,0,1,0,0
0,37,0,5,1,4,1,1,0,1,0,0
0,37,4,5,1,4,1,1,0,1,0,0
0,38,0,5,2,8,1,1,0,1,0,0
0,1,4,5,8,2,1,1,0,1,0,0
0,4,1,5,4,2,1,1,0,1,0,0
0,4,6,5,4,1,1,1,0,1,0,0
0,34,0,5,2,8,1,1,0,1,0,0
0,30,2,5,1,1,1,0,1,1,0,0
0,30,5,5,1,1,1,0,1,1,0,0
0,29,5,5,1,1,1,0,1,1,0,0
0,29,2,5,1,1,1,0,1,1,0,0
0,0,3,6,2,2,1,1,0,1,0,0
0,2,2,6,2,4,1,1,0,1,0,0
0,4,2,6,1,1,1,1,0,1,0,0
0,4,5,6,1,1,1,1,0,1,0,0
0,5,1,6,2,2,1,1,0,1,0,0
0,5,5,6,2,2,1,1,0,1,0,0
0,7,1,6,1,2,1,1,0,1,0,0
0,7,5,6,1,2,1,1,0,1,0,0
0,8,1,6,4,1,1,1,0,1,0,0
0,8,6,6,4,1,1,1,0,1,0,0
0,12,1,6,2,4,1,1,0,1,0,0
0,12,5,6,2,2,1,1,0,1,0,0
0,13,0,6,1,1,1,1,0,1,0,0
0,13,7,6,1,1,1,1,0,1,0,0
0,14,0,6,2,8,1,1,0,1,0,0
0,16,0,6,2,8,1,1,0,1,0,0
0,18,0,6,2,8,1,1,0,1,0,0
0,20,0,6,2,8,1,1,0,1,0,0
0,22,0,6,2,2,1,6,0,1,0,0
0,22,6,6,4,2,1,6,0,1,0,0
0,24,0,6,1,2,1,6,0,1,0,0
0,25,0,6,2,4,1,1,0,1,0,0
0,25,4,6,2,1,1,1,0,1,0,0
0,26,6,6,1,2,1,6,0,1,0,0
0,33,2,6,1,4,1,1,0,1,0,0
0,30,2,6,1,1,1,0,1,1,0,0
0,30,5,6,1,1,1,0,1,1,0,0
0,27,4,6,1,1,1,0,1,1,0,0
0,29,5,6,1,1,1,0,1,1,0,0
0,29,2,6,1,1,1,0,1,1,0,0
0,30,1,6,1,1,1,0,1,1,0,0
0,16,2,7,4,2,1,1,0,1,0,0
0,16,4,7,4,2,1,1,0,1,0,0
0,20,2,7,1,1,1,1,0,1,0,0
0,20,3,7,2,1,1,1,0,1,0,0
0,20,4,7,2,2,1,1,0,1,0,0
0,23,0,7,4,2,1,6,0,1,0,0
0,23,6,7,4,2,1,6,0,1,0,0
0,30,2,7,1,1,1,0,1,1,0,0
0,30,5,7,1,1,1,0,1,1,0,0
0,27,4,7,1,1,1,0,1,1,0,0
0,29,5,7,1,1,1,0,1,1,0,0
0,29,2,7,1,1,1,0,1,1,0,0
0,26,4,7,1,1,1,0,1,1,0,0
0,30,1,7,1,1,1,0,1,1,0,0
0,24,0,8,2,2,1,6,0,1,0,0
0,24,6,8,2,2,1,6,0,1,0,0
0,26,0,8,1,2,1,6,0,1,0,0
0,26,6,8,1,2,1,6,0,1,0,0
0,20,2,8,2,4,1,1,0,1,0,0
0,28,2,8,3,1,1,1,0,1,0,0
0,28,5,8,3,1,1,1,0,1,0,0
0,27,4,8,1,1,1,0,1,1,0,0
0,26,4,8,1,1,1,0,1,1,0,0
0,30,1,8,1,1,1,0,1,1,0,0
0,19,1,9,8,2,1,1,0,1,0,0
0,19,3,9,8,2,1,1,0,1,0,0
0,19,5,9,8,2,1,1,0,1,0,0
0,24,0,9,4,1,1,6,0,1,0,0
0,24,7,9,4,1,1,6,0,1,0,0
0,27,1,9,1,4,1,1,0,1,0,0
0,28,0,9,2,8,1,1,0,1,0,0
0,30,0,9,1,4,1,1,0,1,0,0
0,30,4,9,1,4,1,1,0,1,0,0
0,20,2,10,1,1,1,6,0,1,0,0
0,20,5,10,2,1,1,6,0,1,0,0
0,21,2,10,1,2,1,6,0,1,0,0
0,24,2,10,1,1,1,6,0,1,0,0
0,24,5,10,1,1,1,6,0,1,0,0
0,25,4,10,1,2,1,6,0,1,0,0
0,26,3,10,1,2,1,6,0,1,0,0
0,27,3,10,1,1,1,6,0,1,0,0
0,28,2,10,2,4,1,6,0,1,0,0
0,28,6,10,1,1,1,6,0,1,0,0
0,30,1,10,1,1,1,0,1,1,0,0
0,28,2,11,2,1,1,6,0,1,0,0
0,28,6,11,2,1,1,6,0,1,0,0
0,29,1,11,2,1,1,6,0,1,0,0
0,29,5,11,2,1,1,6,0,1,0,0
0,30,5,12,1,1,1,6,0,1,0,0
0,30,1,12,2,1,1,6,0,1,0,0
